NULL,06FpomWnZbAjMeuL6YLZ4i,1950,Internacional
NULL,4hE36wh5dHJlaYzooFRHEf,1951,Internacional
NULL,2TZLWFgOVdcGOR1qZaKK2O,1952,Internacional
NULL,2e35CqabRnW8DIbJJSHu70,1953,Internacional
NULL,0qgeT8jBBNdp31z2wJOpBy,1954,Internacional
NULL,5w9TYrubgRYxcoMf3a1pl3,1955,Internacional
NULL,4JHZOXb7dqsFhEmkUAphBM,1956,Internacional
NULL,5xQSTfU9BFLldMC4gyfd5j,1957,Internacional
NULL,3yn3s51ml6aQJal4XXqXZ7,1958,Internacional
NULL,5syjR9mVX4pPl2SDu2kueU,1959,Internacional
NULL,1v4xUqFZGUN1Umk9VSX9Bf,1960,Internacional
NULL,6FuBjRDTT6eOMNl3z4yIZR,1961,Internacional
NULL,6io36wXucOEVJwX5tfhOKp,1962,Internacional
NULL,7popzX02PvIg05KtQTVCW1,1963,Internacional
NULL,7yYffn7QimcWORGUbhVA2T,1964,Internacional
NULL,4jpDISd1q31556e99BKkUt,1965,Internacional
NULL,3cyAAa86bGLTxDKx5EDNID,1966,Internacional
NULL,0t7z4Hkx2gNkM9mDo4JWZF,1967,Internacional
NULL,6dTdfSCO0MUbiZMLkJc19J,1968,Internacional
NULL,6Gp2wiXXPTUPaHNtZBVU5w,1969,Internacional
NULL,6iqvLdoS13BjUspKJUgWGx,1970,Internacional
NULL,37i9dQZF1DX43B4ApmA3Ee,1971,Internacional
NULL,37i9dQZF1DXaQBa5hAMckp,1972,Internacional
NULL,37i9dQZF1DX2ExTChOnD3g,1973,Internacional
NULL,4F9t0jjx16uGvxthm7hzCa,1974,Internacional
NULL,5AjJI6mg2l8ThA5x8PXvot,1975,Internacional
NULL,37i9dQZF1DX6rhG68uMHxl,1976,Internacional
NULL,4g8h9nRFMqaEEsXZM3TSif,1977,Internacional
NULL,2yQEhrAyz1HDUmJws0MrjN,1978,Internacional
NULL,1agMGTedmWS6SRERwLFIt5,1979,Internacional
NULL,3lEBQoUn3801U5TB1gulJf,1980,Internacional
NULL,37i9dQZF1DX3MaR62kDrX7,1981,Internacional
NULL,37i9dQZF1DXas7qFgKz9OV,1982,Internacional
NULL,1td8QS2HXwc26z8FJT6SgG,1983,Internacional
NULL,7LC0Yqc2tuXCEU1dpvSkep,1984,Internacional
NULL,5rvJGmGKc8V0S3MtoDSWL1,1985,Internacional
NULL,37i9dQZF1DX7b12kdMQTpG,1986,Internacional
NULL,7ElrtqcLzZXaFJzGV5c0nm,1987,Internacional
NULL,4nCjtI7qohxmx9AOY5oCl1,1988,Internacional
NULL,37i9dQZF1DX4qJrOCfJytN,1989,Internacional
NULL,46cTg4rfrfZZBPVsEkWspY,1990,Internacional
NULL,37i9dQZF1DX6TtJfRD994c,1991,Internacional
NULL,37i9dQZF1DX9ZZCtVNwklG,1992,Internacional
NULL,37i9dQZF1DXbUFx5bcjwWK,1993,Internacional
NULL,37i9dQZF1DXbKFudfYGcmj,1994,Internacional
NULL,0uQXBpxUMDUFhUMXMJgKj6,1995,Internacional
NULL,1utJTWgReGyg4MzHiwiVvx,1996,Internacional
NULL,6QA4ytudZHpZFIGhdDABnQ,1997,Internacional
NULL,2gUE6oX6RH60jaWbxHsGwQ,1998,Internacional
NULL,6pSgNZLzRjouo74qlyovn0,1999,Internacional
NULL,69NafAtdjPiTAnGno6dR4C,2001,Internacional
NULL,37i9dQZF1DX0P7PzzKwEKl,2002,Internacional
NULL,37i9dQZF1DXaW8fzPh9b08,2003,Internacional
NULL,37i9dQZF1DWTWdbR13PQYH,2004,Internacional
NULL,37i9dQZF1DXarC0Cy7VsAl,2005,Internacional
NULL,37i9dQZF1DX5c42vvWQbfU,2006,Internacional
NULL,37i9dQZF1DXdHJoK6pY7Oh,2007,Internacional
NULL,3t9g0zGUYvn91KlEYeg8CN,2008,Internacional
NULL,5AEViEZ3oIDTttNUmSBY9m,2009,Internacional
NULL,3hbG3upCNqaZaNdxTA2sc3,2010,Internacional
NULL,4HqSFgPXT0X0kIuLrAfF7o,2011,Internacional
NULL,37i9dQZF1DX1lLhvjOZ9Eb,2012,Internacional
NULL,37i9dQZF1DX8cr9zdmLTqV,2013,Internacional
NULL,3Y0IIeAeLJMW2Okx4EQCkw,2014,Internacional
NULL,37i9dQZF1DX86diBZjYU2q,2015,Internacional
NULL,1PrPttKkMQf8fa2WxSeVZO,2016,Internacional
NULL,4JbSoqC2zjkAFiaN8K4NYy,2017,Internacional
NULL,5l771HfZDqlBsDFQzO0431,2018,Internacional
NULL,37i9dQZF1DWVRSukIED0e9,2019,Internacional
NULL,2fmTTbBkXi8pewbUvG3CeZ,2020,Internacional
NULL,5GhQiRkGuqzpWZSE7OU4Se,2021,Internacional
NULL,56r5qRUv3jSxADdmBkhcz7,2022,Internacional
NULL,6unJBM7ZGitZYFJKkO0e4P,2023,Internacional
